record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
3802 3802 29.96 0:00:02:06.545/600 0:00:02:06.525/600 319.95 267.30 185.68 113.93 -1000.00 -1000.00 39.00 36.00 
3803 3803 29.96 0:00:02:06.565/600 0:00:02:06.545/600 318.92 261.64 185.78 112.55 -1000.00 -1000.00 39.00 38.00 
3804 3804 29.96 0:00:02:06.585/600 0:00:02:06.565/600 318.99 260.37 185.72 112.25 -1000.00 -1000.00 39.00 35.00 
3805 3805 29.96 0:00:02:07.05/600 0:00:02:06.585/600 318.90 259.66 185.72 112.07 -1000.00 -1000.00 39.00 37.00 
3806 3806 29.96 0:00:02:07.25/600 0:00:02:07.05/600 319.14 259.68 185.66 112.08 -1000.00 -1000.00 39.00 36.00 
3807 3807 29.96 0:00:02:07.45/600 0:00:02:07.25/600 318.64 259.36 185.79 112.00 -1000.00 -1000.00 38.00 35.00 
3808 3808 29.96 0:00:02:07.65/600 0:00:02:07.45/600 319.28 260.57 185.65 112.30 -1000.00 -1000.00 39.00 39.00 
3809 3809 29.96 0:00:02:07.85/600 0:00:02:07.65/600 318.24 277.99 186.49 116.52 -1000.00 -1000.00 26.00 39.00 
3810 3810 29.96 0:00:02:07.105/600 0:00:02:07.85/600 318.19 297.98 187.15 121.41 -1000.00 -1000.00 26.00 39.00 
3811 3811 29.96 0:00:02:07.125/600 0:00:02:07.105/600 319.05 317.69 187.55 126.25 -1000.00 -1000.00 29.00 40.00 
3812 3812 29.96 0:00:02:07.145/600 0:00:02:07.125/600 319.06 335.83 188.13 130.74 -1000.00 -1000.00 28.00 39.00 
3813 3813 29.96 0:00:02:07.165/600 0:00:02:07.145/600 321.09 337.75 187.63 131.23 -1000.00 -1000.00 31.00 40.00 
3814 3814 29.96 0:00:02:07.185/600 0:00:02:07.165/600 321.80 337.34 187.41 131.13 -1000.00 -1000.00 25.00 40.00 
3815 3815 29.96 0:00:02:07.205/600 0:00:02:07.185/600 322.10 336.95 187.31 131.04 -1000.00 -1000.00 29.00 40.00 
3816 3816 29.96 0:00:02:07.225/600 0:00:02:07.205/600 322.79 337.17 187.13 131.10 -1000.00 -1000.00 29.00 40.00 
3817 3817 29.96 0:00:02:07.245/600 0:00:02:07.225/600 322.82 337.01 187.11 131.06 -1000.00 -1000.00 28.00 40.00 
3818 3818 29.96 0:00:02:07.265/600 0:00:02:07.245/600 323.42 336.81 186.94 131.01 -1000.00 -1000.00 29.00 40.00 
3819 3819 29.96 0:00:02:07.285/600 0:00:02:07.265/600 324.63 336.34 186.58 130.90 -1000.00 -1000.00 27.00 40.00 
3820 3820 29.96 0:00:02:07.305/600 0:00:02:07.285/600 343.52 328.43 181.01 129.05 -1000.00 -1000.00 33.00 22.00 
3821 3821 29.96 0:00:02:07.325/600 0:00:02:07.305/600 375.84 320.75 171.59 127.33 -1000.00 -1000.00 36.00 39.00 
3822 3822 29.96 0:00:02:07.345/600 0:00:02:07.325/600 408.21 313.59 162.11 125.72 -1000.00 -1000.00 37.00 40.00 
3823 3823 29.96 0:00:02:07.365/600 0:00:02:07.345/600 440.01 306.26 152.70 124.06 -1000.00 -1000.00 36.00 37.00 
3824 3824 29.96 0:00:02:07.385/600 0:00:02:07.365/600 453.79 306.78 148.71 124.26 -1000.00 -1000.00 37.00 39.00 
3825 3825 29.96 0:00:02:07.405/600 0:00:02:07.385/600 454.50 307.15 148.51 124.35 -1000.00 -1000.00 37.00 39.00 
